Major_Category,Year_of_Study,Pre_Semester_GPA,Weekly_GenAI_Hours,Primary_Use_Case,Tool_Diversity,Paid_Subscription,Traditional_Study_Hours,Perceived_AI_Dependency,Anxiety_Level_During_Exams,Skill_Retention_Score,Major_FreqEnc,Prompt_Engineering_Skill_Advanced,Prompt_Engineering_Skill_Beginner,Prompt_Engineering_Skill_Intermediate,Institutional_Policy_Actively_Encouraged,Institutional_Policy_Allowed_With_Citation,Institutional_Policy_Strict_Ban,Burnout_Risk_Level_High,Burnout_Risk_Level_Low,Burnout_Risk_Level_Medium
0.25,0.0,0.7456483126110123,0.017,0.75,0.0,0.0,0.4845094664371773,0.0,0.3333333333333333,0.7160950459538221,0.7237563006793777,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,1.0,0.8721136767317939,0.32075000000000004,0.25,0.75,1.0,0.2653471026965003,0.4444444444444445,0.3333333333333333,0.5661286707016364,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.25,0.75,0.9051509769094137,0.0315,0.5,0.75,1.0,0.4348823866896156,0.1111111111111111,0.5555555555555556,0.8704326384218786,0.7237563006793777,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
1.0,1.0,0.09449378330372998,0.018,0.25,0.25,0.0,0.30895008605851976,0.4444444444444445,0.4444444444444445,0.5159157139654786,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
1.0,0.25,0.5943161634103018,0.03175,0.5,0.5,0.0,0.4348823866896156,0.2222222222222222,0.4444444444444445,0.7089217664200852,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.75,0.75,0.6980461811722911,0.13899999999999998,1.0,1.0,0.0,0.25502008032128515,0.1111111111111111,0.0,0.8782784129119032,0.05950032873109801,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
0.75,0.25,0.6880994671403196,0.49800000000000005,1.0,0.25,1.0,0.0,0.6666666666666665,0.2222222222222222,0.6323694238959875,0.05950032873109801,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0.0,1.0,0.869982238010657,0.029249999999999998,0.5,0.75,1.0,0.076592082616179,0.1111111111111111,0.4444444444444445,0.5056041246357319,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
0.5,0.0,0.753108348134991,0.0072499999999999995,0.0,0.5,0.0,0.1853126792885829,0.0,0.4444444444444445,0.7210266756332662,0.4449923296077143,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1.0,0.5,0.883836589698046,0.41925,0.25,0.5,1.0,0.0,0.4444444444444445,0.3333333333333333,0.9627886124187404,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
0.25,1.0,0.43339253996447596,0.03950000000000001,0.75,0.75,1.0,0.3539873780837636,0.0,0.4444444444444445,0.7119479937233805,0.7237563006793777,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0.5,0.5,0.6760213143872111,0.10475000000000001,0.25,0.5,0.0,0.28141135972461273,0.1111111111111111,0.1111111111111111,0.9152656355077338,0.4449923296077143,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.75,0.4003552397868561,0.17925000000000002,0.25,0.5,1.0,0.2280550774526678,0.4444444444444445,0.7777777777777777,0.8286258686393185,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.5,0.75,0.8369449378330371,0.01025,1.0,0.5,1.0,0.29546758462421113,0.0,0.4444444444444445,0.6867294328625869,0.4449923296077143,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1.0,0.0,0.9214920071047956,0.2015,0.25,0.5,0.0,0.21285140562248997,0.2222222222222222,0.3333333333333333,0.6438018381528805,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.75,0.75,0.6625222024866784,0.11675,1.0,0.5,0.0,0.2068273092369478,0.3333333333333333,0.3333333333333333,0.7734812822237168,0.05950032873109801,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1.0,0.5,0.6500888099467139,0.36175,0.25,0.5,0.0,0.23981640849110725,0.3333333333333333,0.6666666666666665,0.5824927146379736,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
0.25,0.5,0.8241563055062167,0.1585,0.75,0.25,0.0,0.5800344234079173,0.1111111111111111,0.4444444444444445,0.9915938130464022,0.7237563006793777,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
0.5,1.0,0.9445825932504439,0.1565,0.0,0.0,0.0,0.31095811818703384,0.3333333333333333,0.2222222222222222,0.7385115444967497,0.4449923296077143,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
0.25,0.5,0.8269982238010656,0.20099999999999998,0.5,0.25,1.0,0.27251864601262193,0.1111111111111111,0.2222222222222222,0.8512665321676754,0.7237563006793777,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.25,0.75,0.5193605683836588,0.2195,0.75,0.5,0.0,0.142570281124498,0.0,0.2222222222222222,0.8600089665994173,0.7237563006793777,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
1.0,0.75,0.686323268206039,0.33475000000000005,1.0,0.25,1.0,0.5699942627653471,0.4444444444444445,0.3333333333333333,0.817978031831428,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
0.75,1.0,0.8504440497335699,0.27825000000000005,1.0,0.75,1.0,0.4259896729776248,0.2222222222222222,0.5555555555555556,0.5651199282672047,0.05950032873109801,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.0,0.75,0.4440497335701597,0.279,0.25,0.25,1.0,0.33907056798623064,0.5555555555555556,0.4444444444444445,0.6631921093925129,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.75,1.0,0.6305506216696268,0.284,1.0,0.5,1.0,0.24440619621342513,0.4444444444444445,0.5555555555555556,0.5456175745348577,0.05950032873109801,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
0.75,0.75,0.90550621669627,0.022000000000000002,0.75,0.75,1.0,0.34050487664945495,0.3333333333333333,0.0,0.7738175297018606,0.05950032873109801,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
0.25,0.5,0.6980461811722911,0.004,1.0,0.0,0.0,0.4044750430292599,0.1111111111111111,0.4444444444444445,0.5827168796234029,0.7237563006793777,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.75,0.75,0.797868561278863,0.512,0.5,0.25,1.0,0.09294320137693632,0.5555555555555556,0.1111111111111111,0.5895539116789958,0.05950032873109801,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1.0,0.5,0.9428063943161633,0.05575,0.75,0.75,1.0,0.37464142283419394,0.3333333333333333,0.3333333333333333,0.5615332885003363,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1.0,1.0,0.7339253996447601,0.24425,0.75,0.5,1.0,0.47102696500286867,0.3333333333333333,0.3333333333333333,0.7779645819323022,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1.0,0.5,0.6507992895204262,0.0675,0.25,0.25,0.0,0.49569707401032703,0.2222222222222222,0.3333333333333333,0.8138309796009864,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.5,1.0,0.7047957371225575,0.373,1.0,0.25,0.0,0.2794033275960987,0.1111111111111111,0.7777777777777777,0.666890831652096,0.4449923296077143,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0.5,1.0,0.8930728241563053,0.165,0.75,0.5,0.0,0.26649454962707975,0.3333333333333333,0.4444444444444445,0.7477023088993499,0.4449923296077143,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1.0,0.0,0.8099467140319714,0.061750000000000006,0.25,0.5,0.0,0.22776821572002293,0.0,0.0,0.5525666890831652,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
0.0,0.75,0.34849023090586145,0.43425,0.0,0.0,0.0,0.25989672977624784,0.5555555555555556,0.4444444444444445,0.7471418964357768,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.5,0.0,0.5641207815275309,0.1755,0.0,0.75,0.0,0.3493975903614458,0.1111111111111111,0.2222222222222222,0.5228648285137861,0.4449923296077143,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
1.0,0.25,0.847602131438721,0.205,0.75,0.0,0.0,0.4632816982214572,0.1111111111111111,0.3333333333333333,0.7262945527908541,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
0.25,0.0,0.6717584369449376,0.01625,0.75,0.5,1.0,0.3755020080321285,0.2222222222222222,0.4444444444444445,0.7776283344541582,0.7237563006793777,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.25,0.7623445825932504,0.16825,0.25,0.75,1.0,0.41078600114744696,0.2222222222222222,0.1111111111111111,0.784241201524322,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
0.0,0.25,0.8607460035523977,0.027500000000000004,0.75,0.25,0.0,0.4747561675272519,0.1111111111111111,0.2222222222222222,0.5581708137188971,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1.0,1.0,0.8746003552397867,0.4185,0.5,0.5,1.0,0.15720022948938614,0.3333333333333333,0.1111111111111111,0.7549876709258014,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0.75,0.25,0.5879218472468914,0.2405,0.0,0.0,1.0,0.19047619047619047,0.4444444444444445,0.4444444444444445,0.6130912351490698,0.05950032873109801,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0.0,0.25,0.6621669626998223,0.47150000000000003,0.5,0.0,1.0,0.34968445209409066,0.5555555555555556,0.6666666666666665,0.480497646267653,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1.0,0.0,0.6870337477797512,0.34725000000000006,0.0,0.25,0.0,0.24956970740103268,0.7777777777777777,0.5555555555555556,0.3879175072853621,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1.0,0.25,0.7346358792184722,0.24925000000000003,0.25,0.5,0.0,0.1546184738955823,0.2222222222222222,0.4444444444444445,0.7846895314951806,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.4959147424511546,0.21800000000000003,0.75,0.5,0.0,0.3749282845668388,0.3333333333333333,0.2222222222222222,0.5960546962564448,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0.25,0.0,0.6166962699822378,0.052000000000000005,0.5,0.0,0.0,0.5246701090074584,0.4444444444444445,0.2222222222222222,0.5295897780766645,0.7237563006793777,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0.25,0.5,0.2984014209591474,0.135,0.0,0.25,0.0,0.36718301778542745,0.1111111111111111,0.4444444444444445,0.6897556601658821,0.7237563006793777,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.0,0.0,0.46571936056838364,0.18225000000000002,0.0,0.5,0.0,0.14945496270797476,0.0,0.6666666666666665,0.7545393409549428,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1.0,0.0,0.8696269982238007,0.022500000000000003,0.25,0.75,1.0,0.29804934021801494,0.0,0.1111111111111111,0.8380407980273481,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0.5,0.25,0.5243339253996446,0.221,0.0,0.25,0.0,0.43889845094664376,0.0,0.7777777777777777,0.7520735261152208,0.4449923296077143,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1.0,0.25,0.5964476021314387,0.12525,1.0,0.5,1.0,0.39300057372346525,0.1111111111111111,0.0,0.7367182246133155,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.0,0.75,0.7428063943161634,0.06975,0.0,0.25,1.0,0.027538726333907054,0.1111111111111111,0.0,0.6557946648733469,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0.25,0.5,0.7634103019538185,0.21325,0.5,0.25,0.0,0.34222604704532417,0.3333333333333333,0.1111111111111111,0.599417171037884,0.7237563006793777,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.5,0.25,0.7239786856127886,0.34925000000000006,1.0,0.0,0.0,0.09695926563396443,0.3333333333333333,0.3333333333333333,0.7212508406186954,0.4449923296077143,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.0,0.7925399644760212,0.09250000000000001,0.25,0.75,0.0,0.48594377510040165,0.1111111111111111,0.1111111111111111,0.7041022192333557,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
0.5,0.25,0.3371225577264653,0.20450000000000002,0.5,0.75,0.0,0.3247274813539874,0.3333333333333333,0.2222222222222222,0.6091683479040574,0.4449923296077143,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0.5,1.0,0.6831261101243338,0.20575000000000002,0.25,0.5,0.0,0.5137693631669535,0.2222222222222222,0.2222222222222222,0.7924232234924906,0.4449923296077143,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
0.25,0.25,0.6571936056838363,0.24125000000000002,0.75,1.0,1.0,0.051921973608720605,0.1111111111111111,0.4444444444444445,0.9307330195023538,0.7237563006793777,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
0.25,0.75,0.4852575488454706,0.32975,0.75,0.25,1.0,0.2928858290304074,0.5555555555555556,0.4444444444444445,0.5476350594037211,0.7237563006793777,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.75,0.25,0.7758436944937832,0.16275,1.0,0.5,1.0,0.04388984509466436,0.0,0.1111111111111111,0.7676529926025555,0.05950032873109801,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.5,0.25,0.8387211367673177,0.8500000000000001,0.25,0.25,0.0,0.22002294893861157,0.5555555555555556,0.0,0.6503026227303296,0.4449923296077143,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1.0,0.25,0.3936056838365896,0.19775,0.25,1.0,0.0,0.38611589213998854,0.2222222222222222,0.5555555555555556,0.49663752521856097,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
0.25,0.5,0.500532859680284,0.14675000000000002,0.0,1.0,1.0,0.2119908204245554,0.2222222222222222,0.1111111111111111,0.6188074422775163,0.7237563006793777,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
0.0,0.75,0.4895204262877441,0.004,0.25,1.0,0.0,0.39759036144578314,0.2222222222222222,0.0,0.6499663752521856,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
0.25,0.75,0.566607460035524,0.323,0.5,0.25,1.0,0.25559380378657487,0.6666666666666665,0.7777777777777777,0.7121721587088097,0.7237563006793777,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.6806394316163409,0.533,1.0,0.25,1.0,0.33792312105565114,0.2222222222222222,0.3333333333333333,0.732795337368303,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.5,0.75,0.920071047957371,0.13025,0.0,0.0,0.0,0.31009753298909926,0.0,0.2222222222222222,0.5467383994620041,0.4449923296077143,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0.25,0.0,0.6124333925399643,0.083,0.5,0.25,0.0,0.21227768215720025,0.1111111111111111,0.4444444444444445,0.683927370544721,0.7237563006793777,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
0.5,0.25,0.39396092362344576,0.07550000000000001,0.0,0.25,0.0,0.23350545037292025,0.1111111111111111,0.2222222222222222,0.6271015467383996,0.4449923296077143,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1.0,0.0,0.2959147424511545,0.7177500000000001,0.25,1.0,1.0,0.13310384394721742,0.5555555555555556,0.3333333333333333,0.5039228872450124,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1.0,0.25,0.5250444049733569,0.28250000000000003,0.5,0.5,0.0,0.2880091795754446,0.5555555555555556,0.1111111111111111,0.986101770903385,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1.0,1.0,0.8628774422735346,0.64575,0.25,0.5,1.0,0.2713711990820425,0.6666666666666665,0.5555555555555556,0.5774490024658149,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0.25,0.0,0.3037300177619892,0.22250000000000003,0.25,0.5,1.0,0.35197934595524955,0.5555555555555556,0.3333333333333333,0.49697377269670473,0.7237563006793777,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
0.5,0.25,0.9246891651865008,0.083,0.0,0.25,1.0,0.26419965576592086,0.4444444444444445,0.1111111111111111,0.5109840842860345,0.4449923296077143,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.25,0.0,0.7179396092362345,0.11925,0.25,0.25,0.0,0.36660929432013767,0.1111111111111111,0.3333333333333333,0.8377045505492042,0.7237563006793777,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
0.75,0.5,0.3172291296625222,0.143,0.0,0.25,1.0,0.35656913367756743,0.1111111111111111,0.1111111111111111,0.5957184487783008,0.05950032873109801,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.75,0.6355239786856126,0.24,0.25,0.5,1.0,0.22547332185886398,0.2222222222222222,0.0,0.8579914817305537,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
0.5,1.0,0.5488454706927175,0.15925,0.0,0.5,1.0,0.25301204819277107,0.1111111111111111,0.0,0.8286258686393185,0.4449923296077143,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.0,0.5,0.33747779751332146,0.10825000000000001,0.5,0.0,0.0,0.3057946069994263,0.1111111111111111,0.3333333333333333,0.6954718672943286,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1.0,0.75,0.6191829484902309,0.010750000000000001,0.0,0.75,0.0,0.5407343660355709,0.2222222222222222,0.0,0.9367854741089443,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
1.0,0.25,0.42486678507992887,0.257,0.75,0.75,0.0,0.597819850831899,0.3333333333333333,0.1111111111111111,0.9568482403048646,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1.0,0.0,0.9531083481349909,0.1885,0.25,0.0,0.0,0.14027538726333905,0.1111111111111111,0.3333333333333333,0.480497646267653,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1.0,0.0,0.7175843694493782,0.30150000000000005,0.75,0.5,1.0,0.2799770510613884,0.5555555555555556,0.5555555555555556,0.8022864828513786,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.75,0.5,0.8234458259325041,0.2465,0.75,0.25,0.0,0.28456683878370626,0.4444444444444445,0.2222222222222222,0.8365837256220578,0.05950032873109801,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
0.0,1.0,0.6991119005328594,0.0715,0.0,0.0,1.0,0.22088353413654616,0.3333333333333333,0.0,0.6199282672046628,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0.25,1.0,0.9239786856127883,0.06525,0.75,1.0,0.0,0.4695926563396443,0.0,0.2222222222222222,0.8101322573414034,0.7237563006793777,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0.75,1.0,0.7314387211367672,0.03125,0.75,0.5,0.0,0.2065404475043029,0.1111111111111111,0.2222222222222222,0.7627213629231114,0.05950032873109801,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.0,0.5,0.5904085257548846,0.13625,1.0,0.5,1.0,0.35456110154905335,0.2222222222222222,0.3333333333333333,0.5679219905850706,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,0.25,0.9705150976909411,0.01825,0.25,0.25,0.0,0.38267355134825015,0.0,0.5555555555555556,0.5750952701188076,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
0.75,0.0,0.5282415630550621,0.6975,1.0,0.25,0.0,0.08175559380378658,0.6666666666666665,0.4444444444444445,0.5849585294776957,0.05950032873109801,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
